Discipline,FemaleCount,MaleCount,TotalCount
Tennis,94,97,191
Boxing,102,187,289
Marathon Swimming,25,25,50
Golf,60,60,120
Rowing,257,265,522
Baseball/Softball,90,144,234
Judo,192,201,393
Sailing,175,175,350
Swimming,361,418,779
Cycling BMX Freestyle,10,9,19
Basketball,144,144,288
Handball,168,168,336
Rhythmic Gymnastics,96,0,96
Karate,40,42,82
Triathlon,55,55,110
Badminton,86,87,173
Canoe Sprint,123,126,249
Athletics,969,1072,2041
Cycling Track,90,99,189
Beach Volleyball,48,48,96
Skateboarding,40,40,80
Equestrian,73,125,198
Shooting,178,178,356
Diving,72,71,143
Canoe Slalom,41,41,82
Rugby Sevens,146,151,297
Artistic Gymnastics,98,98,196
Cycling Mountain Bike,38,38,76
3x3 Basketball,32,32,64
Cycling Road,70,131,201
Wrestling,96,193,289
Table Tennis,86,86,172
Taekwondo,65,65,130
Water Polo,122,146,268
Weightlifting,98,99,197
Surfing,20,20,40
Sport Climbing,20,20,40
Cycling BMX Racing,24,24,48
Trampoline Gymnastics,16,16,32
Modern Pentathlon,36,36,72
Volleyball,144,144,288
Archery,64,64,128
Artistic Swimming,105,0,105
Fencing,107,108,215
Hockey,192,192,384
Football,264,344,608
